date,profit,cumulative,stakes,location
2025-03-01,158.23,158.23,"$0.25/0.50 NL Holdem","UCSD Online"
2025-04-01,-278.86,-120.63,"$0.25/0.50 NL Holdem","CPC Online"
2025-05-01,73.35,-47.28,"$0.25/0.50 NL Holdem","CPC Online"
2025-06-01,650,602.72,"$1/3 NL Holdem","Morongo Poker Room"
2025-06-01,-400,202.72,"$1/3 NL Holdem","Morongo Poker Room"
2025-06-01,2344,2546.72,"$0.50/1 NL Holdem","CPC Online"
2025-07-01,-725.81,1820.91,"$0.50/1 NL Holdem","CPC Online"
2025-08-01,564.45,2385.36,"$0.50/1 NL Holdem","CPC Online"
2025-09-01,-400,1985.36,"$0.50/1 NL Holdem","CPC Online"
2025-10-01,-800,1185.36,"$0.50/1 NL Holdem","Griffin's in IV"
2025-11-01,50,1235.36,"$0.10/0.20 NL Holdem","Tanaka's in IV"
2025-11-01,100,1335.36,"$0.50/1 NL Holdem","CPC Online"
2025-11-17,-69,1266.36,"$0.25/0.25 NL Holdem","Daniel's in IV"
2025-11-20,267.75,1534.11,"$0.25/0.25 NL Holdem","Daniel's in IV"
2025-12-02,-167,1367.11,"$0.25/0.25 NL Holdem","Daniel's in IV"
2025-12-04,281.75,1648.86,"$0.25/0.25 NL Holdem","Daniel's in IV"
2025-12-07,320.5,1969.36,"$0.25/0.25 NL Holdem","Daniel's in IV"
2025-12-31,-300,1669.36,"$0.20/0.50/1 NL Holdem","ClubWPT Gold"
2026-01-04,-56.3,1613.06,"$0.10/0.20 NL Holdem","Tanaka's in IV"
2026-01-06,96,1709.06,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-10,-450,1259.06,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-15,87,1346.06,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-15,67,1413.06,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-16,34.2,1447.26,"$0.10/0.20 NL Holdem","Tanaka's in IV"
2026-01-16,-100,1347.26,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-18,666.5,2013.76,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-24,735,2748.76,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-29,242,2990.76,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-01-31,-50,2940.76,"$0.10/0.20 NL Holdem","Tanaka's in IV"
2026-02-01,-500,2440.76,"$0.25/0.25 NL Holdem","Daniel's in IV"
2026-02-03,408.5,2849.26,"$0.25/0.25 NL Holdem","Daniel's in IV"
